# experiment P-78 (R-078)
# hypothesis: PROBE-BASED GI IS THE ONLY GI FAMILY THAT TOLERATES GEOMETRY CHANGING EVERY FRAME, AND ITS COST UNDER A DESTRUCTIBLE WORLD IS UNMEASURED. The best rigorous measurement available is a bachelor's thesis (Dell'Ova, BTH 2025, DOI UNVERIFIED) finding that 87-96% of radiance-cascade frame time is the GATHER pass -- cost is dominated by tracing the scene, not by the cascade structure. That matters because this crate can trace an SDF instead of a BVH, which is what P-74 measures. But the question a game asks first is how much of the cache a dig dirties, and the crate already owns the instrument: M-311's dirty-cell set and M-314's edit-proportionality decomposition. (C1) The probe invalidation set is EDIT-PROPORTIONAL, not volume-proportional: the number of probes whose visibility changes tracks the brush's dilated support with a constant factor under 4, across M-50's four edit-log buckets and three probe densities. (C2) Tracing the field beats tracing the extracted mesh for probe updates by at least 3x at equal ray count. (C3) A dig that opens a new air component -- M-311's union-find merge, the banked breakthrough event -- invalidates STRICTLY MORE probes than a dig of the same volume that does not. SHARE: C2 moves the gather pass, which the thesis puts at 87-96% of GI cost.
# falsified by: C1 by a factor above 4, or by a count that grows with world size at fixed edit size -- the second kills probe GI for this game outright and is worth knowing in an afternoon. C2 by under 3x. C3 by no difference, which would mean the topological event has no lighting signature and the banked breakthrough event cannot drive a lighting response. VACUITY CONTROL: the breakthrough arm must actually merge two air components, asserted from the union-find rather than assumed from the brush.
# commit abffc18 on amd-ryzen-9-5900x-12-core at 2026-08-28T00:51:51Z
log_bucket,probe_density,world_cells,brush_support_cells,probes_invalidated,invalidation_factor,gather_ms_field,gather_ms_mesh,gather_speedup,breakthrough,air_components_before,air_components_after,probes_invalidated_breakthrough,c1_holds,c2_holds,c3_holds,bvh_build_ms,cpu_mhz,dirs_per_probe,dug_samples,dug_samples_other_arm,edit_brush_radius_cells,edit_center,extract_ms,factor_ceiling,factor_ceiling_literal,hit_agree_frac,hit_frac_field,hit_frac_mesh,hit_median_delta_cells,hit_tol_cells,invalidated_volume_cells,invalidation_factor_literal,log_brushes,main_component_samples,max_steps,mean_steps_per_ray,merges,mesh_tris,pocket_air_samples,pocket_connected_after,pocket_connected_before,probe_spacing_cells,probes_air_before,probes_born,probes_in_support_actual,probes_in_support_expected,probes_invalidated_control,probes_live,probes_total,rays_field,rays_mesh,relabels,steps_before_gather,unresolved_frac_field,value_changed_cells_in_region,world_cells_per_axis
31-45,0.125000,262144,286,150,4.195804,1279.4116,280.4516,0.219204,no,3,3,361,false,false,true,52.867,3639.7,32,171,171,4.00,6.26_6.12_14.10,90.249,916.5874,114.5734,0.9778,0.9789,0.9989,0.0294,0.500,1200,0.524476,38,102730,96,29.60,1,171688,515,false,false,2,13625,21,22,35.7500,150,13646,32768,436672,436672,342,12907976,0.0211,625,64
31-45,0.015625,262144,361,38,6.736842,133.6723,32.5355,0.243398,yes,3,2,38,false,false,true,52.211,3639.7,32,171,171,4.00,17.41_16.00_23.88,90.352,726.1607,11.3463,0.9800,0.9804,0.9996,0.0309,0.500,2432,0.105263,38,102730,96,28.35,2,171612,515,true,false,4,1485,4,4,5.6406,15,1489,4096,47648,47648,857,1346306,0.0196,547,64
31-45,0.015625,262144,286,15,3.356643,133.5091,32.4483,0.243042,no,3,3,38,true,false,true,52.867,3639.7,32,171,171,4.00,6.26_6.12_14.10,90.249,916.5874,14.3217,0.9802,0.9805,0.9997,0.0309,0.500,960,0.052448,38,102730,96,28.35,1,171688,515,false,false,4,1485,2,1,4.4688,15,1487,4096,47584,47584,342,1346306,0.0195,625,64
31-45,0.001953,262144,361,5,7.091413,24.5772,6.0160,0.244778,yes,3,2,5,false,false,true,52.211,3639.7,32,171,171,4.00,17.41_16.00_23.88,90.352,726.1607,1.4183,0.9844,0.9844,1.0000,0.0325,0.500,2560,0.013850,38,102730,96,27.04,2,171612,515,true,false,8,287,0,0,0.7051,4,287,512,9184,9184,857,248195,0.0156,547,64
31-45,0.001953,262144,286,4,7.160839,24.5696,6.1537,0.250459,no,3,3,5,false,false,true,52.867,3639.7,32,171,171,4.00,6.26_6.12_14.10,90.249,916.5874,1.7902,0.9844,0.9844,1.0000,0.0325,0.500,2048,0.013986,38,102730,96,27.04,1,171688,515,false,false,8,287,0,1,0.5586,4,287,512,9184,9184,342,248195,0.0156,625,64
46-60,0.125000,262144,361,378,8.376731,1620.8642,283.3484,0.174813,yes,3,2,378,false,false,true,53.021,3639.7,32,171,171,4.00,17.41_16.00_23.88,116.896,726.1607,90.7701,0.9777,0.9789,0.9988,0.0295,0.500,3024,1.047091,53,103023,96,29.65,2,171292,515,true,false,2,13653,23,29,45.1250,170,13676,32768,437632,437632,857,12950320,0.0211,547,64
46-60,0.125000,262144,286,170,4.755245,1620.9657,282.5208,0.174292,no,3,3,378,false,false,true,53.181,3639.7,32,171,171,4.00,6.26_6.12_14.10,117.259,916.5874,114.5734,0.9778,0.9789,0.9989,0.0295,0.500,1360,0.594406,53,103023,96,29.64,1,171368,515,false,false,2,13653,21,22,35.7500,170,13674,32768,437568,437568,342,12950320,0.0211,625,64
46-60,0.015625,262144,361,40,7.091413,169.3816,32.6894,0.192993,yes,3,2,40,false,false,true,53.021,3639.7,32,171,171,4.00,17.41_16.00_23.88,116.896,726.1607,11.3463,0.9801,0.9804,0.9996,0.0310,0.500,2560,0.110803,53,103023,96,28.38,2,171292,515,true,false,4,1490,4,4,5.6406,17,1494,4096,47808,47808,857,1352183,0.0196,547,64
46-60,0.015625,262144,286,17,3.804196,169.2161,32.5930,0.192612,no,3,3,40,true,false,true,53.181,3639.7,32,171,171,4.00,6.26_6.12_14.10,117.259,916.5874,14.3217,0.9803,0.9806,0.9997,0.0310,0.500,1088,0.059441,53,103023,96,28.38,1,171368,515,false,false,4,1490,2,1,4.4688,17,1492,4096,47744,47744,342,1352183,0.0194,625,64
46-60,0.001953,262144,361,5,7.091413,31.0599,5.9984,0.193122,yes,3,2,5,false,false,true,53.021,3639.7,32,171,171,4.00,17.41_16.00_23.88,116.896,726.1607,1.4183,0.9843,0.9843,1.0000,0.0325,0.500,2560,0.013850,53,103023,96,27.09,2,171292,515,true,false,8,287,0,0,0.7051,4,287,512,9184,9184,857,248674,0.0157,547,64
46-60,0.001953,262144,286,4,7.160839,31.0735,5.8031,0.186755,no,3,3,5,false,false,true,53.181,3639.7,32,171,171,4.00,6.26_6.12_14.10,117.259,916.5874,1.7902,0.9843,0.9843,1.0000,0.0325,0.500,2048,0.013986,53,103023,96,27.10,1,171368,515,false,false,8,287,0,1,0.5586,4,287,512,9184,9184,342,248674,0.0157,625,64
